latitude,longitude
47.64146800092892,-122.14016499901194
47.64146800092892,-122.14016499901194
47.64146800092892,-122.14016499901194
47.64146800051899,-122.14016403728668
47.64146791750129,-122.14016001753782
47.641467632762044,-122.14014960150182
47.64146705910368,-122.14011967053005
47.641466810019594,-122.14009145818682
47.641466664055905,-122.1400597859263
47.64146716648103,-122.14002085072562
47.64146853010564,-122.13999441908224
47.64147087838074,-122.13996509958169
47.64147444868331,-122.13992096095475
47.64147919845274,-122.13988012548192
47.641483967943245,-122.13985380805448
47.64149070317053,-122.13982437407097
47.64149774457373,-122.13980278101702
47.64150543097363,-122.13978543107811
47.64151416951377,-122.13977319099017
47.64152087784552,-122.13976512241888
47.64153052526665,-122.13975645259103
47.64155204587933,-122.13973457726298
47.641567367506134,-122.13971939506226
47.64159298953634,-122.1396952244509
47.64161689241037,-122.13967718370459
47.641634682831935,-122.13967393192684
47.64165730897761,-122.13967082778777
47.64167693172484,-122.13966753927332
47.64169833376888,-122.13966752438816
47.641714855857586,-122.13967163261745
47.64173023984993,-122.13967915886782
47.6417398487397,-122.13968706466143
47.64174560759058,-122.13969412317132
47.64175589121458,-122.13970656955365
47.641779778118746,-122.1397345528528
47.641814547156095,-122.13977526764093
47.64183635252167,-122.13980067382366
47.641847333229926,-122.13981319779467
47.641858153627346,-122.13982275972694
47.64186977789071,-122.1398328766277
47.64188318588552,-122.13984132884084
47.64189303476848,-122.13984377323774
47.64190488701683,-122.1398470851
47.641924557138836,-122.13984705093179
47.64193742580695,-122.13984305311541
47.64194587397906,-122.13983894862358
47.641958262804685,-122.13982955900043
47.641972898834126,-122.13981341227039
47.641982253162894,-122.13980120923273
47.64198949663853,-122.13978924070406
47.64200432686851,-122.13976617281673
47.64201603483788,-122.13974998772557
47.642026977856474,-122.13973770100084
47.642034963161876,-122.13973076889191
47.642043652117366,-122.13972604633554
47.642058577663036,-122.13971821333755
47.642074339538176,-122.13971026480318
47.6420885661076,-122.13970546046777
47.64210505759037,-122.13970240452765
47.64212819133502,-122.1397035636029
47.642151338339474,-122.13970977156096
47.64217250230055,-122.13971953752895
47.64219068463207,-122.13973107612726
47.64220801880262,-122.13974494640357
47.64222405116992,-122.13975841725507
47.64223977936832,-122.13977425032682
47.64225146572879,-122.13979092211093
47.64226098266953,-122.13981034858092
47.642275811791265,-122.13983779395056
47.64229233298864,-122.13986835225724
47.64230959874679,-122.13989805396668
47.64232645834225,-122.13991678462648
47.64234255390753,-122.13992428910895
47.64235732494975,-122.13992482222795
47.642370208307995,-122.13992475065216
47.6423804820246,-122.13992384918507
47.642397967567064,-122.13992098753171
47.64241505722504,-122.13991849633389
47.642434892488524,-122.13991877020005
47.642451987630714,-122.13992831793115
47.642462390795316,-122.13993671218208
47.642480774802785,-122.13995138192428
47.64249984036398,-122.13996658754522
47.64252960939545,-122.13998901237873
47.64255742624224,-122.13999885312828
47.642579498122394,-122.14000081978423
47.642600788745646,-122.13999746848957
47.64261935358344,-122.1399922134316
47.64263541269201,-122.13998885654347
47.64264760627599,-122.1399904898882
47.642660191766744,-122.13999507574786
47.64267654828164,-122.14000069249386
47.64268991957476,-122.14000761659392
47.64270485408371,-122.14001672483191
47.64271958709424,-122.14003415745329
47.64273151392206,-122.14004960817768
47.64274998140548,-122.14007781732974
47.642762210939,-122.14010073890296
47.64276882325082,-122.14012586720183
47.64277293315774,-122.14014456303245
47.64277947796105,-122.14017442534886
47.64278685645191,-122.14021412903593
47.642789828409256,-122.14024528163218
47.642791084523644,-122.1402753158408
47.642789669521164,-122.14030434950513
47.64278639028065,-122.14033156712418
47.64278076780503,-122.14036080269705
47.64277334439094,-122.1403821587726
47.6427669580061,-122.14039610373732
47.64275404618474,-122.14042017781632
47.64274098104906,-122.14043910322916
47.64272596045831,-122.14046092694167
47.642712915458944,-122.14047709186194
47.64269969981048,-122.14049085268158
47.642686046694784,-122.14049704960269
47.6426732697884,-122.14050078746912
47.6426534508224,-122.14050577482446
47.64262522374935,-122.14050072148247
47.64260832791861,-122.14048658129678
47.642591374819176,-122.14047069968831
47.64257717558135,-122.14045026610972
47.642569476210845,-122.14043833176243
47.642563449316214,-122.14042298189563
47.64255570514271,-122.14040200361579
47.64254754299335,-122.14037995710784
47.64253938763131,-122.14035544918899
47.642531782790016,-122.14032875173352
47.642524664509104,-122.14030804624636
47.64251628460383,-122.14029044134612
47.64251063180829,-122.14028048476686
47.642499552331756,-122.1402634758124
47.642485929465764,-122.14024656682564
47.64247582253208,-122.14023575594825
47.64246478009789,-122.14022738631176
47.64245135038791,-122.14021711076956
47.642437893876384,-122.14020897332128
47.642423889120415,-122.14020428106481
47.642408022458675,-122.14020038182271
47.642393250700415,-122.14019890304289
47.64236613536032,-122.14019653055873
47.64234051521379,-122.14019866538949
47.64230381163572,-122.1402052004501
47.64228201790499,-122.14021256250548
47.64225829155632,-122.14022123694495
47.64224159732234,-122.14022899978053
47.64222262227739,-122.14024319725068
47.64221023869982,-122.14025528101836
47.64219958173093,-122.14026619009088
47.64217356526513,-122.1402907629273
47.642151517962986,-122.14030846529653
47.6421379097174,-122.14032420086767
47.64212547134276,-122.14033794447265
47.642108839992545,-122.14035428200701
47.6421000705812,-122.1403622601448
47.642083338094714,-122.14037670919558
47.64206857202505,-122.14038727532485
47.64204868972999,-122.14039915942094
47.64202649770617,-122.14040869454469
47.64201360555908,-122.1404129226747
47.641990810123815,-122.14041983780393
47.64197464160427,-122.14042251730805
47.64195389560052,-122.14042016626952
47.64194254426719,-122.1404160943315
47.64193175785136,-122.14040944949495
47.641914863761905,-122.14039954481979
47.64189900584173,-122.14038632761891
47.64188876742505,-122.14037541851663
47.641877459914404,-122.14036283483584
47.64186148102939,-122.14034489019095
47.64183891057489,-122.14031781971379
47.641824535562364,-122.14029979402754
47.64180733253434,-122.14028202543851
47.641789671114914,-122.14026458111357
47.64176699674247,-122.14024586653284
47.641752742956186,-122.14023750267387
47.64173784818234,-122.14023126044228
47.64172500666164,-122.14022726375754
47.64171367662192,-122.1402271233787
47.64170486486139,-122.14022954762527
47.6416918126398,-122.14023363590334
47.64167247326498,-122.14024067510417
47.64163894580579,-122.1402527885311
47.64161571169802,-122.14026105472107
47.64158957100946,-122.1402665932955
47.641568164945376,-122.14027159464246
47.641549801830614,-122.14027850239066
47.64153259302996,-122.14028058723572
47.641521117769344,-122.14027731322963
47.64151106164415,-122.14027120273849
47.64149459302741,-122.14025562634546
47.64148425974681,-122.14023744688419
47.6414766235617,-122.1402167179681
47.6414729255581,-122.1402026322647
47.641470440239,-122.14018867857656
47.64146950983313,-122.14017226214649
47.64146775594073,-122.14015270266152
47.641466271750694,-122.14013617915947
47.641465344745406,-122.14011686410878
47.64146589283088,-122.14010280931038
47.64146562948365,-122.14009167247131
47.641465593172825,-122.14008806346234
47.64146559308489,-122.14008806020433
47.64146559308489,-122.14008806020433
